"group" "motif_type" "counts" "total_count"
"17" "protein_complexes" 2 401
"17" "protein_complexes" 3 85
"17" "protein_complexes" 4 27
"17" "protein_complexes" 5 8
"17" "protein_complexes" 6 6
"17" "protein_complexes" 7 1
"17" "protein_complexes" 8 1
"17" "protein_complexes" 10 1
"17" "protein_complexes" 11 1
"17" "protein_complexes" 23 1
"17" "regulatory_triplets" 2 167
"17" "regulatory_triplets" 3 43
"17" "regulatory_triplets" 4 7
"17" "regulatory_triplets" 5 2
"17" "regulatory_triplets" 6 2
"17" "regulatory_triplets" 7 1
"17" "regulatory_triplets" 9 1
"17" "regulatory_triplets" 13 1
"17" "signaling_triplets" 2 236
"17" "signaling_triplets" 3 53
"17" "signaling_triplets" 4 12
"17" "signaling_triplets" 5 6
"17" "signaling_triplets" 6 4
"17" "signaling_triplets" 7 3
"17" "signaling_triplets" 8 1
"17" "signaling_triplets" 9 1
"17" "signaling_triplets" 10 2
"17" "signaling_triplets" 16 1
"17" "signaling_triplets" 33 1
"18" "others" 2 64
"18" "others" 3 30
"18" "others" 4 6
"18" "others" 5 7
"18" "others" 6 2
"18" "others" 7 4
"18" "others" 8 1
"18" "others" 9 2
"18" "others" 11 1
"18" "others" 12 1
"18" "others" 17 1
"18" "others" 18 1
"18" "others" 43 1
"18" "protein_complexes" 2 408
"18" "protein_complexes" 3 85
"18" "protein_complexes" 4 25
"18" "protein_complexes" 5 11
"18" "protein_complexes" 6 6
"18" "protein_complexes" 13 1
"18" "protein_complexes" 16 1
"18" "regulatory_triplets" 2 183
"18" "regulatory_triplets" 3 20
"18" "regulatory_triplets" 4 15
"18" "regulatory_triplets" 5 3
"18" "regulatory_triplets" 6 3
"18" "regulatory_triplets" 8 1
"18" "regulatory_triplets" 9 1
"18" "regulatory_triplets" 12 1
"18" "signaling_triplets" 2 211
"18" "signaling_triplets" 3 47
"18" "signaling_triplets" 4 14
"18" "signaling_triplets" 5 5
"18" "signaling_triplets" 6 1
"18" "signaling_triplets" 7 2
"18" "signaling_triplets" 9 1
"18" "signaling_triplets" 14 1
"19" "others" 2 76
"19" "others" 3 12
"19" "others" 4 10
"19" "others" 5 7
"19" "others" 6 6
"19" "others" 7 3
"19" "others" 10 2
"19" "others" 11 3
"19" "others" 13 1
"19" "others" 14 1
"19" "others" 15 3
"19" "others" 19 1
"19" "protein_complexes" 2 459
"19" "protein_complexes" 3 71
"19" "protein_complexes" 4 20
"19" "protein_complexes" 5 13
"19" "protein_complexes" 6 4
