Node label	Node label ORF	Domain (predominant)	Neighborhood score [max=1, min=0] (predominant)	Total number of enriched domains	Number of enriched attributes per domain
YER105C	YER105C	9	0.400	1	0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
YER107C	YER107C	9	1.000	2	0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,0
YER110C	YER110C	9	1.000	2	0,0,0,0,0,0,0,33,0,0,0,0,6,0,0,0
YER111C	YER111C	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,26,80,0,0
YER112W	YER112W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER114C	YER114C	14	0.428	1	0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
YER116C	YER116C	15	0.498	1	0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
YER117W	YER117W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER118C	YER118C	14	0.330	1	0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
YER120W	YER120W	14	0.332	1	0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
YER122C	YER122C	3	0.554	1	0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER123W	YER123W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER125W	YER125W	15	0.698	2	0,0,0,0,0,0,0,0,0,0,0,0,11,26,0,0
YER126C	YER126C	8	1.000	3	0,0,0,0,1,0,13,6,0,0,0,0,0,0,0,0
YER127W	YER127W	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER129W	YER129W	14	0.431	2	0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0
YER133W	YER133W	15	0.520	3	0,0,0,0,0,0,0,0,0,0,0,0,1,27,5,0
YER136W	YER136W	3	1.000	2	7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YER139C	YER139C	15	1.000	1	0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0
YER143W	YER143W	9	1.000	1	0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
YER148W	YER148W	15	1.000	2	0,0,0,0,0,0,0,0,0,0,0,0,3,86,0,0
YER149C	YER149C	1	0.000	0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
