oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBR160W	YJR092W	kinase-substrate down	kd
YBR160W	YKL022C	kinase-substrate down	kd
YBR160W	YKL042W	kinase-substrate down	kd
YBR160W	YKL043W	kinase-substrate down	kd
YBR160W	YKL048C	kinase-substrate down	kd
YBR160W	YKL048C	kinase-substrate up	ku
YBR160W	YKL052C	kinase-substrate down	kd
YBR160W	YKL054C	kinase-substrate down	kd
YBR160W	YKL092C	kinase-substrate down	kd
YBR160W	YKL101W	kinase-substrate up	ku
YBR160W	YKL108W	kinase-substrate down	kd
YBR160W	YKL116C	kinase-substrate down	kd
YBR160W	YKL129C	kinase-substrate down	kd
YBR160W	YKL168C	kinase-substrate down	kd
YBR160W	YKL185W	kinase-substrate down	kd
YBR160W	YKR048C	kinase-substrate down	kd
YBR160W	YKR072C	kinase-substrate down	kd
YBR160W	YKR077W	kinase-substrate down	kd
YBR160W	YKR078W	kinase-substrate down	kd
YBR160W	YKR089C	kinase-substrate down	kd
YBR160W	YKR090W	kinase-substrate down	kd
YBR160W	YKR091W	kinase-substrate down	kd
YBR160W	YKR095W	kinase-substrate down	kd
YBR160W	YLL003W	kinase-substrate down	kd
YBR160W	YLL021W	kinase-substrate down	kd
YBR160W	YLL039C	kinase-substrate down	kd
YBR160W	YLR006C	kinase-substrate down	kd
YBR160W	YLR035C-A	kinase-substrate down	kd
YBR160W	YLR045C	kinase-substrate down	kd
YBR160W	YLR079W	kinase-substrate down	kd
YBR160W	YLR086W	kinase-substrate down	kd
YBR160W	YLR096W	kinase-substrate down	kd
YBR160W	YLR096W	kinase-substrate up	ku
YBR160W	YLR102C	kinase-substrate down	kd
YBR160W	YLR127C	kinase-substrate down	kd
YBR160W	YLR131C	kinase-substrate down	kd
YBR160W	YLR182W	kinase-substrate down	kd
YBR160W	YLR183C	kinase-substrate down	kd
YBR160W	YLR187W	kinase-substrate down	kd
YBR160W	YLR190W	kinase-substrate down	kd
YBR160W	YLR210W	kinase-substrate down	kd
YBR160W	YLR212C	kinase-substrate down	kd
YBR160W	YLR219W	kinase-substrate down	kd
YBR160W	YLR223C	kinase-substrate down	kd
YBR160W	YLR229C	kinase-substrate down	kd
YBR160W	YLR258W	kinase-substrate down	kd
YBR160W	YLR278C	kinase-substrate down	kd
YBR160W	YLR314C	kinase-substrate down	kd
YBR160W	YLR319C	kinase-substrate down	kd
YBR160W	YLR394W	kinase-substrate down	kd
YBR160W	YLR401C	kinase-substrate down	kd
YBR160W	YLR410W	kinase-substrate down	kd
YBR160W	YLR425W	kinase-substrate down	kd
YBR160W	YLR430W	kinase-substrate down	kd
YBR160W	YLR457C	kinase-substrate down	kd
YBR160W	YML027W	kinase-substrate down	kd
YBR160W	YML034W	kinase-substrate down	kd
YBR160W	YML064C	kinase-substrate down	kd
YBR160W	YML065W	kinase-substrate down	kd
