interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
254	SLT2	HOG1	YHR030C	YLR113W	12.063801
255	DOT6	SCH9	YER088C	YHR205W	12.04656
256	SIC1	HOG1	YLR079W	YLR113W	12.04656
257	TOD6	SCH9	YBL054W	YHR205W	12.04656
258	SGV1	CAK1	YPR161C	YFL029C	12.02251
259	SLT2	MKK1	YHR030C	YOR231W	12.000169
260	GPA1	ELM1	YHR005C	YKL048C	11.99962
261	SPC110	CDC28	YDR356W	YBR160W	11.87327
262	SSK2	PBS2	YNR031C	YJL128C	11.846816
263	CDC12	GIN4	YHR107C	YDR507C	11.82094
264	NUD1	CDC15	YOR373W	YAR019C	11.81839
265	BNI1	FUS3	YNL271C	YBL016W	11.784521
266	SWI6	CDC28	YLR182W	YBR160W	11.73884
267	CCL1	KIN28	YPR025C	YDL108W	11.68376
268	BMH1	TPK1	YER177W	YJL164C	11.65656
269	CDC11	CLA4	YJR076C	YNL298W	11.648541
270	DBF4	CDC5	YDR052C	YMR001C	11.62009
271	FPR3	CKA2	YML074C	YOR061W	11.60359
272	LIF1	CDC28	YGL090W	YBR160W	11.60359
273	SCD5	PRK1	YOR329C	YIL095W	11.55102
274	CNN1	MPS1	YFR046C	YDL028C	11.5373
275	PCL1	PHO85	YNL289W	YPL031C	11.53474
276	ABP1	ARK1	YCR088W	YNL020C	11.500107
277	HSL7	SWE1	YBR133C	YJL187C	11.499311
278	STE7	FUS3	YDL159W	YBL016W	11.491821
279	BRN1	CDC5	YBL097W	YMR001C	11.48923
280	YCG1	CDC5	YDR325W	YMR001C	11.48923
281	YCS4	CDC5	YLR272C	YMR001C	11.48923
282	PTC2	RAD53	YER089C	YPL153C	11.47584
283	SIC1	PHO85	YLR079W	YPL031C	11.45135
284	CDC42	CLA4	YLR229C	YNL298W	11.450471
285	ORC2	CDC28	YBR060C	YBR160W	11.4303
286	TGL4	CDC28	YKR089C	YBR160W	11.4303
287	SNF1	TOS3	YDR477W	YGL179C	11.387691
288	RFA2	IME2	YNL312W	YJL106W	11.38022
289	NUP53	HRR25	YMR153W	YPL204W	11.28461
290	SWE1	HSL1	YJL187C	YKL101W	11.279901
291	STE50	STE11	YCL032W	YLR362W	11.277021
292	CLN2	CDC28	YPL256C	YBR160W	11.2552151
293	SPC29	CDC28	YPL124W	YBR160W	11.2519
294	PBS2	STE11	YJL128C	YLR362W	11.236101
295	DBF4	CDC7	YDR052C	YDL017W	11.22802
296	GLC8	PHO85	YMR311C	YPL031C	11.22392
297	KIN4	ELM1	YOR233W	YKL048C	11.20466
298	MKS1	TOR1	YNL076W	YJR066W	11.12785
299	TPK1	TPK1	YJL164C	YJL164C	11.05559
300	ATG13	ATG1	YPR185W	YGL180W	11.019071
301	ECO1	CDC28	YFR027W	YBR160W	10.99968
302	SWI4	CDC28	YER111C	YBR160W	10.97326
303	YAK1	TPK2	YJL141C	YPL203W	10.95324
304	RHO1	PKC1	YPR165W	YBL105C	10.952421
305	SEC2	CBK1	YNL272C	YNL161W	10.86575
306	ROD1	SNF1	YOR018W	YDR477W	10.855189
