complex_id	oln_id
265	YDR264C
71	YDR228C
72	YKR091W
133	YBR229C
94	YNL284C
378	YER110C
473	YDL220C
107	YDR137W
498	YML055W
409	YPL151C
140	YGL087C
10	YPL049C
219	YOR063W
267	YAR035W
273	YOR352W
469	YOR064C
283	YFL028C
24	YNL191W
2	YJL115W
384	YER136W
170	YHR148W
219	YDR447C
307	YNL106C
440	YHR005C
412	YCR057C
32	YOL067C
440	YOR212W
229	YNR024W
214	YNL082W
374	YNL009W
201	YLR314C
97	YJL125C
109	YPL181W
121	YDR097C
84	YLR116W
191	YHR166C
16	YMR048W
73	YOR304W
160	YML069W
116	YLR385C
182	YJL011C
203	YOL117W
53	YLR430W
170	YDR064W
201	YHR107C
109	YIL084C
162	YOL090W
304	YKL149C
131	YER122C
171	YDR225W
508	YJL058C
498	YIR022W
170	YDR449C
30	YBR173C
208	YDR369C
415	snR43
507	YJR066W
469	YPR031W
274	YCR012W
414	snR17a
414	snR52
185	YGR083C
281	YOR205C
217	YGL112C
219	YBR031W
146	YDR381W
192	YER094C
154	YJR145C
265	YOR212W
480	YLR246W
258	YIL074C
170	YLR129W
190	YHR012W
187	YFL013C
229	YGR195W
234	YLR438C-A
286	YML074C
404	YNL104C
474	YGR103W
176	YBL037W
192	YGL011C
447	YAL010C
380	YDR353W
272	YOL031C
175	YOR115C
249	YAL053W
424	YNL230C
251	YNL192W
455	YKL148C
490	YER162C
241	YMR099C
181	YDL105W
182	YNL113W
352	YDR079C-A
385	YAL060W
97	YNL062C
123	YER050C
129	YBL018C
473	YLR010C
463	YPL164C
60	YLR226W
213	YOR038C
361	YDL060W
145	YHL002W
236	YBR280C
129	YBR167C
27	YPR066W
64	YBR107C
340	YLR142W
458	YMR060C
396	YBR267W
475	YKL143W
138	YCR081W
225	YNL312W
152	YOR332W
234	YJL124C
119	YCR033W
185	YJR007W
69	YDL108W
308	YGR019W
35	YPL235W
143	YDR028C
51	YOR185C
505	YLR318W
426	YBR135W
441	YER145C
229	YGR158C
283	YER043C
94	YCR046C
132	YDL176W
219	YPL198W
143	YER027C
114	YDR148C
235	YDL189W
204	YLR449W
174	YBR081C
140	YMR140W
100	YKL058W
138	YPR168W
171	YDR073W
449	YJL143W
42	YLR178C
387	YBL067C
414	snR60
181	YDR288W
371	YLR328W
161	YDR080W
219	YGR085C
335	YHR023W
165	YML095C
182	YOR210W
47	YGR285C
106	YBR288C
412	YGR103W
204	YPL211W
405	YLR025W
35	YCR060W
215	YGL070C
275	YEL061C
459	YJL030W
89	YJL074C
383	YJL052W
170	YOR145C
131	YDR238C
414	snR47
138	YOR174W
109	YNL330C
183	YER021W
412	YGR081C
78	YJL041W
130	YBR233W-A
195	YKL166C
116	YML041C
154	YBL072C
248	YHR117W
470	YMR125W
94	YDR322W
415	snR32
1	YGR075C
197	YMR284W
322	YBR137W
426	YIL050W
361	YKL143W
460	YCR086W
270	YGR185C
68	YLR347C
173	YKL013C
269	YOR181W
94	YCR071C
247	YBR225W
347	YNL280C
57	YKL181W
165	YPL022W
105	YDL043C
78	YGL172W
426	YDL127W
18	YEL037C
204	YCL054W
424	YPL046C
155	YHR172W
175	YDR472W
486	YDL020C
198	YBR123C
337	YNL007C
204	YER006W
310	YFR009W
471	YKL186C
187	YJL081C
418	YNL278W
154	YOR204W
314	YMR271C
53	YMR239C
22	YGR233C
139	YNR052C
292	YHR204W
294	YNL260C
101	YER133W
31	YPL249C
332	YBL056W
475	YGR081C
219	YPL090C
29	YOR075W
415	snR161
212	YDR091C
266	YFR024C-A
29	YLR268W
109	YAL013W
296	YDR006C
202	YER008C
61	YGR188C
510	YCR081W
189	YLR384C
189	YMR312W
483	YDL166C
219	YDL075W
64	YDR318W
167	YPR080W
168	YDR359C
285	YIL098C
312	YPL219W
9	YFR040W
65	YDL042C
72	YPL256C
81	YDR022C
219	YLR287C-A
102	YDR062W
24	YBR281C
79	YNL021W
496	YML043C
40	YDL099W
217	YBR198C
171	YFL049W
195	YPL203W
430	YBR236C
478	YJR052W
515	YML111W
106	YJL024C
212	YBR079C
44	YOL072W
174	YHR099W
258	YER081W
239	YNL242W
416	YKL159C
156	YOL094C
183	YDL007W
94	YNL177C
371	YGR010W
54	YLR006C
282	YKR059W
274	YHR174W
328	YGL125W
518	YPL167C
160	YGL207W
307	YLR429W
364	YMR153W
