oln_id_a	oln_id_b	interaction_type	interaction_type_abbrev
YBL103C	YLR304C	transcription factor-target down	td
YBL103C	YNL037C	transcription factor-target down	td
YBL103C	YNL248C	transcription factor-target down	td
YBL103C	YOR136W	transcription factor-target down	td
YBL103C	YPL124W	transcription factor-target down	td
YBL104C	YJR127C	transcription factor-target up	tu
YBL105C	YBR049C	transcription factor-target up	tu
YBL107C	YDR310C	transcription factor-target up	tu
YBL108W	YDR146C	transcription factor-target up	tu
YBL112C	YIR018W	transcription factor-target up	tu
YBR002C	YBR049C	transcription factor-target up	tu
YBR002C	YNL314W	transcription factor-target up	tu
YBR003W	YBR049C	transcription factor-target up	tu
YBR003W	YNL314W	transcription factor-target up	tu
YBR007C	YKL032C	transcription factor-target up	tu
YBR007C	YOR028C	transcription factor-target up	tu
YBR008C	YOR028C	transcription factor-target up	tu
YBR009C	YBL008W	transcription factor-target up	tu
YBR009C	YDR463W	transcription factor-target up	tu
YBR009C	YGL073W	transcription factor-target up	tu
YBR009C	YLR182W	transcription factor-target up	tu
YBR009C	YNL068C	transcription factor-target up	tu
YBR009C	YOR038C	transcription factor-target up	tu
YBR010W	YBL008W	transcription factor-target up	tu
YBR010W	YDR463W	transcription factor-target up	tu
YBR010W	YGL073W	transcription factor-target up	tu
YBR010W	YLR182W	transcription factor-target up	tu
YBR010W	YNL068C	transcription factor-target up	tu
YBR010W	YOR038C	transcription factor-target up	tu
YBR011C	YKL112W	transcription factor-target up	tu
YBR011C	YNL103W	transcription factor-target up	tu
YBR012W-B	YPL254W	transcription factor-target up	tu
YBR014C	YIL101C	transcription factor-target up	tu
YBR017C	YBR049C	transcription factor-target up	tu
YBR017C	YDR310C	transcription factor-target up	tu
YBR018C	YML051W	transcription factor-target up	tu
YBR018C	YPL248C	transcription factor-target up	tu
YBR019C	YDR253C	transcription factor-target up	tu
YBR019C	YML051W	transcription factor-target up	tu
YBR019C	YOR363C	transcription factor-target up	tu
YBR019C	YPL248C	transcription factor-target up	tu
YBR020W	YDR253C	transcription factor-target up	tu
YBR020W	YML051W	transcription factor-target up	tu
YBR020W	YPL248C	transcription factor-target up	tu
YBR025C	YDR259C	transcription factor-target up	tu
YBR025C	YGL073W	transcription factor-target up	tu
YBR025C	YGL237C	transcription factor-target up	tu
YBR029C	YIL131C	transcription factor-target up	tu
YBR029C	YKL112W	transcription factor-target up	tu
YBR029C	YOL108C	transcription factor-target up	tu
YBR030W	YIL131C	transcription factor-target up	tu
YBR030W	YKL112W	transcription factor-target up	tu
YBR030W	YOL108C	transcription factor-target up	tu
YBR031W	YDR392W	transcription factor-target up	tu
YBR031W	YKL112W	transcription factor-target up	tu
YBR033W	YER169W	transcription factor-target up	tu
YBR033W	YLR451W	transcription factor-target up	tu
YBR034C	YBR049C	transcription factor-target up	tu
YBR036C	YBR049C	transcription factor-target up	tu
YBR037C	YNL068C	transcription factor-target up	tu
YBR037C	YOR372C	transcription factor-target up	tu
YBR038W	YNL068C	transcription factor-target up	tu
YBR038W	YOR372C	transcription factor-target up	tu
YBR039W	YBL021C	transcription factor-target up	tu
YBR039W	YKL109W	transcription factor-target up	tu
YBR039W	YOR358W	transcription factor-target up	tu
YBR040W	YGL013C	transcription factor-target up	tu
YBR040W	YGL071W	transcription factor-target up	tu
YBR040W	YHR006W	transcription factor-target up	tu
YBR042C	YLR176C	transcription factor-target up	tu
YBR043C	YDR463W	transcription factor-target up	tu
YBR043C	YEL009C	transcription factor-target up	tu
YBR044C	YDL106C	transcription factor-target up	tu
YBR045C	YDR310C	transcription factor-target up	tu
YBR047W	YNL330C	transcription factor-target up	tu
YBR048W	YLR403W	transcription factor-target up	tu
YBR048W	YNL216W	transcription factor-target up	tu
YBR049C	YAL003W	transcription factor-target down	td
YBR049C	YAL018C	transcription factor-target down	td
YBR049C	YAL025C	transcription factor-target down	td
YBR049C	YAL029C	transcription factor-target down	td
YBR049C	YAL030W	transcription factor-target down	td
YBR049C	YAL031C	transcription factor-target down	td
YBR049C	YAL053W	transcription factor-target down	td
YBR049C	YBL004W	transcription factor-target down	td
YBR049C	YBL013W	transcription factor-target down	td
YBR049C	YBL014C	transcription factor-target down	td
YBR049C	YBL032W	transcription factor-target down	td
YBR049C	YBL034C	transcription factor-target down	td
YBR049C	YBL040C	transcription factor-target down	td
YBR049C	YBL046W	transcription factor-target down	td
