interaction_id	target_gene_name	kinase_gene_name	target_oln_id	kinase_oln_id	score
1105	SSN8	BCK1	YNL025C	YJL095W	4.34739
1106	TOR2	YPK1	YKL203C	YKL126W	4.342287
1107	AVO1	TOR2	YOL078W	YKL203C	4.3421
1108	BMH1	FPK1	YER177W	YNR047W	4.3421
1109	BMH1	AKL1	YER177W	YBR059C	4.3421
1110	BMH1	YKL171W	YER177W	YKL171W	4.3421
1111	BMH1	PSK1	YER177W	YAL017W	4.3421
1112	BMH1	SNF1	YER177W	YDR477W	4.3421
1113	BMH2	PSK1	YDR099W	YAL017W	4.3421
1114	BMH2	PRK1	YDR099W	YIL095W	4.3421
1115	BMH2	FPK1	YDR099W	YNR047W	4.3421
1116	BUD3	RAD53	YCL014W	YPL153C	4.3421
1117	BUD4	RAD53	YJR092W	YPL153C	4.3421
1118	CAB3	CKA1	YKL088W	YIL035C	4.3421
1119	CAB3	CKA2	YKL088W	YOR061W	4.3421
1120	CDC10	KCC4	YCR002C	YCL024W	4.3421
1121	CDC10	RAD53	YCR002C	YPL153C	4.3421
1122	CDC11	RAD53	YJR076C	YPL153C	4.3421
1123	CDC12	RAD53	YHR107C	YPL153C	4.3421
1124	CDC3	RAD53	YLR314C	YPL153C	4.3421
1125	CHD1	CKA1	YER164W	YIL035C	4.3421
1126	CHD1	CKA2	YER164W	YOR061W	4.3421
1127	CKA1	SAK1	YIL035C	YER129W	4.3421
1128	CKA2	RIO1	YOR061W	YOR119C	4.3421
1129	CLB3	DBF2	YDL155W	YGR092W	4.3421
1130	CSE2	SSN3	YNR010W	YPL042C	4.3421
1131	DIM1	RIO2	YPL266W	YNL207W	4.3421
1132	DSN1	MPS1	YIR010W	YDL028C	4.3421
1133	ENP1	RIO2	YBR247C	YNL207W	4.3421
1134	GBP2	CTK1	YCL011C	YKL139W	4.3421
1135	HRB1	CTK1	YNL004W	YKL139W	4.3421
1136	KAP95	CDC5	YLR347C	YMR001C	4.3421
1137	KOG1	TOR1	YHR186C	YJR066W	4.3421
1138	LCD1	MEC1	YDR499W	YBR136W	4.3421
1139	LST8	TOR1	YNL006W	YJR066W	4.3421
1140	LTV1	RIO2	YKL143W	YNL207W	4.3421
1141	MED4	SSN3	YOR174W	YPL042C	4.3421
1142	NPL3	CTK1	YDR432W	YKL139W	4.3421
1143	NUF2	MPS1	YOL069W	YDL028C	4.3421
1144	POB3	CKA1	YML069W	YIL035C	4.3421
1145	POB3	CKA2	YML069W	YOR061W	4.3421
1146	PRP43	RIO1	YGL120C	YOR119C	4.3421
1147	RRP15	CKA1	YPR143W	YIL035C	4.3421
1148	RRP7	CKA1	YCL031C	YIL035C	4.3421
1149	SAK1	CKA1	YER129W	YIL035C	4.3421
1150	SFP1	CKA1	YLR403W	YIL035C	4.3421
1151	SMC1	CDC5	YFL008W	YMR001C	4.3421
1152	SMC3	CDC5	YJL074C	YMR001C	4.3421
1153	SNF4	CKA1	YGL115W	YIL035C	4.3421
1154	SOD1	YCK1	YJR104C	YHR135C	4.3421
1155	SPC24	MPS1	YMR117C	YDL028C	4.3421
1156	SPT16	CKA1	YGL207W	YIL035C	4.3421
1157	SPT16	CKA2	YGL207W	YOR061W	4.3421
1158	SRB4	SSN3	YER022W	YPL042C	4.3421
1159	SRB5	SSN3	YGR104C	YPL042C	4.3421
1160	SRB7	SSN3	YDR308C	YPL042C	4.3421
1161	SRP1	CDC5	YNL189W	YMR001C	4.3421
1162	SSA2	SNF1	YLL024C	YDR477W	4.3421
1163	SSB1	SAK1	YDL229W	YER129W	4.3421
1164	SSB1	SNF1	YDL229W	YDR477W	4.3421
1165	SSB2	SNF1	YNL209W	YDR477W	4.3421
1166	SSL1	KIN28	YLR005W	YDL108W	4.3421
1167	TFB4	KIN28	YPR056W	YDL108W	4.3421
1168	TOR1	KSP1	YJR066W	YHR082C	4.3421
1169	TSR1	RIO2	YDL060W	YNL207W	4.3421
1170	UBI4	SNF1	YLL039C	YDR477W	4.3421
1171	UTP22	CKA1	YGR090W	YIL035C	4.3421
1172	UTP22	CKA2	YGR090W	YOR061W	4.3421
1173	VHS3	CKA1	YOR054C	YIL035C	4.3421
1174	VHS3	CKA2	YOR054C	YOR061W	4.3421
1175	YKR096W	HRR25	YKR096W	YPL204W	4.3421
1176	YTA7	RAD53	YGR270W	YPL153C	4.3421
1177	SSN8	KIN28	YNL025C	YDL108W	4.33034
1178	CNB1	HSL1	YKL190W	YKL101W	4.32239
1179	HEF3	TOR1	YNL014W	YJR066W	4.32239
1180	RSC9	HOG1	YML127W	YLR113W	4.32239
1181	SFP1	TOR1	YLR403W	YJR066W	4.32239
1182	STE20	SLT2	YHL007C	YHR030C	4.310819
1183	CDC37	HOG1	YDR168W	YLR113W	4.305641
1184	RGD1	MKK1	YBR260C	YOR231W	4.305641
1185	GLC7	SNF1	YER133W	YDR477W	4.30359
1186	GSC2	SMK1	YGR032W	YPR054W	4.30359
1187	BEM3	CLA4	YPL115C	YNL298W	4.30153
1188	BMH2	KKQ8	YDR099W	YKL168C	4.28654
1189	PFS1	HRR25	YHR185C	YPL204W	4.28654
1190	SHO1	STE20	YER118C	YHL007C	4.28654
1191	PTP2	BCK1	YOR208W	YJL095W	4.285931
